17:58:28:527 |0|Ticks=0||1|-17|-16|10|0
17:58:28:553 |1|Ticks=0||1|-16|-16|10|0
17:58:28:587 |2|Ticks=0||1|-17|-16|11|0
17:58:28:609 |3|Ticks=0||1|-17|-17|11|0
17:58:28:634 |4|Ticks=0||1|-17|-16|10|0
17:58:28:665 |5|Ticks=0||1|-17|-17|10|0
17:58:28:698 |6|Ticks=0||1|-17|-16|11|0
17:58:28:728 |7|Ticks=0||1|-17|-16|10|0
17:58:28:754 |8|Ticks=0||1|-17|-16|10|0
17:58:28:785 |9|Ticks=0||1|-16|-16|11|0
17:58:28:818 |10|Ticks=0||1|-17|-16|10|0
17:58:28:849 |11|Ticks=0||1|-16|-16|11|0
17:58:28:878 |12|Ticks=0||1|-17|-16|11|0
17:58:28:911 |13|Ticks=0||1|-17|-17|11|0
17:58:28:938 |14|Ticks=0||1|-17|-17|10|0
17:58:28:968 |15|Ticks=0||1|-17|-16|11|0
17:58:29:1 |16|Ticks=0||1|-17|-16|10|0
17:58:29:30 |17|Ticks=0||1|-17|-16|11|0
17:58:29:63 |18|Ticks=0||1|-17|-16|11|0
17:58:29:94 |19|Ticks=0||1|-16|-16|10|0
17:58:29:122 |20|Ticks=16||1|-16|-16|10|0
17:58:29:151 |21|Ticks=0||1|-17|-16|10|0
17:58:29:181 |22|Ticks=0||1|-17|-16|10|0
17:58:29:214 |23|Ticks=0||1|-17|-16|11|0
17:58:29:245 |24|Ticks=0||1|-17|-16|11|0
17:58:29:275 |25|Ticks=0||1|-17|-16|11|0
17:58:29:308 |26|Ticks=0||1|-17|-16|11|0
17:58:29:333 |27|Ticks=0||1|-17|-16|10|0
17:58:29:365 |28|Ticks=0||1|-17|-16|10|0
17:58:29:396 |29|Ticks=0||1|-17|-16|10|0
17:58:29:427 |30|Ticks=0||1|-17|-16|10|0
17:58:29:458 |31|Ticks=0||1|-17|-16|10|0
17:58:29:490 |32|Ticks=0||1|-17|-16|10|0
17:58:29:517 |33|Ticks=0||1|-17|-16|11|0
17:58:29:547 |34|Ticks=0||1|-17|-16|10|0
17:58:29:578 |35|Ticks=0||1|-17|-16|11|0
17:58:29:610 |36|Ticks=0||1|-17|-16|10|0
17:58:29:641 |37|Ticks=0||1|-17|-16|10|0
17:58:29:673 |38|Ticks=0||1|-17|-16|10|0
17:58:29:698 |39|Ticks=0||1|-17|-17|11|0
17:58:29:731 |40|Ticks=15||1|-16|-15|10|0
17:58:29:761 |41|Ticks=0||1|-17|-16|10|0
17:58:29:792 |42|Ticks=0||1|-17|-16|10|0
17:58:29:824 |43|Ticks=16||1|-17|-16|10|0
17:58:29:855 |44|Ticks=16||1|-17|-16|10|0
17:58:29:886 |45|Ticks=15||1|-16|-16|11|0
17:58:29:913 |46|Ticks=0||1|-17|-16|11|0
17:58:29:943 |47|Ticks=0||1|-17|-16|11|0
17:58:29:974 |48|Ticks=0||1|-17|-16|11|0
17:58:30:7 |49|Ticks=0||1|-17|-16|10|0
17:58:30:37 |50|Ticks=0||1|-17|-17|10|0
17:58:30:70 |51|Ticks=0||1|-17|-16|10|0
17:58:30:94 |52|Ticks=0||1|-17|-16|11|0
17:58:30:127 |53|Ticks=0||1|-17|-16|10|0
17:58:30:157 |54|Ticks=0||1|-17|-16|10|0
